date,TKA_turbine_flow_m3s,TKB_turbine_flow_m3s,OHA_turbine_flow_m3s,OHB_turbine_flow_m3s,OHC_turbine_flow_m3s,BEN_turbine_flow_m3s,AVI_turbine_flow_m3s,WTK_turbine_flow_m3s,TKA_accounting_release_m3s,TKA_release_minus_turbine_m3s,OHA_accounting_lake_release_m3s,PKI_canal_to_OHA_estimate_m3s,PKI_implied_outflow_from_balance_m3s,PKI_balance_residual_m3s,AVI_incremental_tributary_m3s,WTK_incremental_tributary_m3s,BEN_to_AVI_balance_residual_m3s,AVI_to_WTK_balance_residual_m3s
2024-01-12,70.412789,75.819014,304.232962,307.6597,305.9872,376.168556,302.729944,280.203103,29.74537,-40.667418,-12.476852,316.709814,260.998885,-55.71093,1.631,3.872,-75.069613,-26.398841
2024-01-13,84.389706,93.21713,273.295597,266.1255,263.7515,197.396786,241.509769,274.690566,35.208333,-49.181372,-11.111111,284.406709,306.422778,22.016069,1.588,3.768,42.524982,29.412797
2024-01-14,73.372625,79.512328,182.189045,183.3352,182.425,255.357865,272.589766,261.976024,25.011574,-48.361051,-7.025463,189.214508,158.167031,-31.047477,1.677,3.981,15.554901,-14.594742
2024-01-15,82.838828,87.453726,303.559137,313.0938,311.7168,383.065104,373.511841,361.302651,20.775463,-62.063365,-27.280093,330.83923,183.099764,-147.739466,1.966,4.667,-11.519264,-16.87619
2024-01-16,82.284072,87.68809,389.121739,405.1706,403.4037,392.320565,433.759141,442.746154,6.979167,-75.304905,-1.863426,390.985165,326.244664,-64.740501,1.952,4.632,39.486576,4.355013
2024-01-17,81.531778,86.135798,384.660122,400.739,398.8875,525.309279,561.106194,545.866311,24.247685,-57.284092,-1.099537,385.759659,328.310594,-57.449064,1.693,4.019,34.103915,-19.258883
2024-01-18,86.832284,93.751858,388.510351,399.7197,398.2992,580.538532,579.554269,549.817562,30.474537,-56.357747,21.469907,367.040443,348.340432,-18.700011,1.629,3.868,-2.613263,-33.604707
2024-01-19,95.755931,105.027501,404.863564,410.0618,409.4061,319.783874,385.526981,428.482142,-53.831019,-149.586949,-13.06713,417.930694,415.588483,-2.342212,2.393,5.68,63.350107,37.275161
2024-01-20,89.554035,97.208927,314.622479,312.2336,310.5869,294.668703,274.22175,272.652006,-454.722222,-544.276257,-344.675926,659.298405,509.814168,-149.484237,6.393,15.175,-26.839953,-16.744744
2024-01-21,68.991809,74.09502,331.112972,326.8271,325.0503,403.767437,423.325863,397.761176,-332.210648,-401.202457,-96.631944,427.744917,-157.029276,-584.774193,7.417,17.605,12.141426,-43.169686
2024-01-22,49.265484,47.642588,392.175016,393.4252,391.7956,425.898488,472.484,464.011551,-130.231481,-179.496966,68.263889,323.911127,40.067236,-283.84389,4.452,10.567,42.133512,-19.039449
2024-01-23,36.845365,35.764464,312.919184,309.3969,307.8058,360.187615,459.797388,463.900324,-183.414352,-220.259717,16.585648,296.333536,203.260075,-93.073461,4.635,11.001,94.974772,-6.898064
2024-01-24,86.419446,85.414286,372.473321,370.5226,368.944,417.888908,491.512441,467.835135,-159.328704,-245.74815,20.034722,352.438598,77.20036,-275.238238,5.531,13.128,68.092532,-36.805306
2024-01-25,82.865561,80.932226,381.457244,381.4364,379.3847,430.086142,486.254347,462.229609,-51.62037,-134.485931,67.743056,313.714189,143.431671,-170.282518,4.797,11.385,51.371205,-35.409738
2024-01-26,68.556005,65.900544,433.427805,434.3308,432.1495,419.18432,355.082847,356.815558,-25.37037,-93.926376,104.00463,329.423175,225.708748,-103.714428,3.754,8.91,-67.855473,-7.177289
2024-01-27,43.337737,44.595444,280.291262,280.8533,278.7291,277.340067,254.333175,247.888228,-162.87037,-206.208107,-45.37037,325.661632,283.286092,-42.37554,5.975,14.182,-28.981892,-20.626947
2024-01-28,72.005111,72.551842,222.851842,227.7846,225.9299,347.652222,388.554584,350.604064,-230.729167,-302.734278,-39.976852,262.828694,62.56662,-200.262074,7.435,17.646,33.467362,-55.596521
2024-01-29,23.942257,21.43999,279.529607,285.6154,284.2173,331.079706,423.970728,409.375779,-108.715278,-132.657535,43.414352,236.115255,-38.356602,-274.471858,5.726,13.591,87.165022,-28.185949
2024-01-30,68.364927,66.290717,286.997299,276.5889,275.8306,409.899814,493.748575,440.802124,-78.553241,-146.918167,-3.912037,290.909336,144.942624,-145.966711,4.589,10.893,79.259761,-63.839451
2024-01-31,73.407073,72.071797,346.174146,355.7349,354.0484,498.602169,484.892053,421.654918,-18.402778,-91.809851,-13.773148,359.947294,241.635778,-118.311516,3.845,9.127,-17.555116,-72.364135
2024-02-01,86.98748,84.545008,403.071442,412.5673,411.6548,383.125949,377.059341,345.702632,4.710648,-82.276831,3.599537,399.471905,276.632434,-122.839471,3.39,8.045,-9.456608,-39.401709
2024-02-02,70.372061,66.112593,352.72717,341.7312,339.1612,318.148825,263.692394,221.313482,-13.240741,-83.612802,9.375,343.35217,304.16776,-39.18441,3.365,7.986,-57.821431,-50.364912
2024-02-03,35.956177,36.464375,271.200611,272.058,270.01,194.135708,218.230241,231.617509,-27.777778,-63.733954,-9.537037,280.737648,199.281245,-81.456403,3.356,7.966,20.738533,5.421268
2024-02-04,46.256308,45.946195,199.711172,204.1853,203.2704,298.90385,344.346284,334.632861,-32.696759,-78.953067,-12.835648,212.54682,170.156195,-42.390625,3.117,7.398,42.325435,-17.111424
2024-02-05,81.526395,80.666533,266.962687,262.9853,261.6193,324.945546,379.417219,344.621959,-10.104167,-91.630562,-14.131944,281.094631,167.312347,-113.782284,2.731,6.483,51.740673,-41.27826
2024-02-06,83.993912,84.74097,303.730049,303.9008,301.769,193.210202,258.544084,247.265049,21.886574,-62.107338,-7.210648,310.940697,252.900063,-58.040635,2.538,6.023,62.795882,-17.302035
2024-02-07,101.47394,100.979043,317.901947,320.0967,319.042,433.749537,387.075922,369.324857,41.365741,-60.108199,-17.465278,335.367224,277.633135,-57.734089,2.396,5.686,-49.069615,-23.437065
2024-02-08,103.23025,103.877318,363.554082,368.6653,367.0271,421.019075,514.399459,481.809392,47.835648,-55.394602,-24.74537,388.299452,328.067485,-60.231968,2.304,5.468,91.076384,-38.058068
2024-02-09,102.351288,102.434132,355.15757,355.909,354.7403,428.349482,495.974631,522.218141,43.80787,-58.543417,-11.886574,367.044144,283.419298,-83.624846,2.18,5.174,65.445149,21.06951
2024-02-10,86.881624,85.585502,287.509536,275.7272,274.4956,290.602024,279.356084,254.901943,46.076389,-40.805235,-12.719907,300.229443,276.322613,-23.906831,2.113,5.016,-13.35894,-29.470141
2024-02-11,59.099491,55.804955,283.170629,278.7789,277.6544,257.060026,231.306406,204.345861,3.530093,-55.569399,-9.456019,292.626648,219.016456,-73.610192,2.09,4.961,-27.84362,-31.921546
2024-02-12,90.939849,90.579067,399.207476,401.5558,399.1418,387.103807,368.479766,347.295514,33.784722,-57.155127,-14.270833,413.47831,326.485678,-86.992631,2.048,4.86,-20.672042,-26.044252
2024-02-13,102.794626,104.060112,403.196733,402.7603,400.0808,376.259007,387.420862,379.672809,58.634259,-44.160367,-13.865741,417.062474,356.189686,-60.872788,1.952,4.633,9.209855,-12.381053
2024-02-14,101.662148,102.671965,345.89684,346.1962,343.5125,365.728468,391.071025,366.305291,62.55787,-39.104278,-14.74537,360.642211,334.363854,-26.278356,1.869,4.436,23.473557,-29.201734
2024-02-15,103.218229,105.603971,289.721905,289.7133,287.2419,377.890846,430.879216,426.771868,58.49537,-44.722859,-1.585648,291.307553,258.743342,-32.564211,1.833,4.351,51.155369,-8.458348
2024-02-16,105.454119,109.914913,357.045847,356.7923,354.8011,369.752597,379.542188,362.247694,54.201389,-51.252731,-38.912037,395.957884,303.535672,-92.422212,2.154,5.112,7.635591,-22.406494
2024-02-17,99.899559,102.786163,216.440593,221.0045,219.8738,303.09344,273.549472,277.582207,-5.104167,-105.003725,-9.363426,225.804019,260.320515,34.516496,2.204,5.232,-31.747968,-1.199264
2024-02-18,88.720824,89.086193,170.277219,163.1187,163.0415,237.952536,273.003372,274.859332,8.159722,-80.561102,-5.150463,175.427682,131.645786,-43.781896,2.027,4.811,33.023836,-2.955039
2024-02-19,90.356207,91.216253,232.596337,237.2047,236.1286,391.283257,405.173413,362.950247,23.761574,-66.594633,-7.002315,239.598652,95.887216,-143.711437,1.869,4.436,12.021156,-46.659166
2024-02-20,86.8766,88.215488,356.605621,352.958,352.0202,458.10339,522.681797,511.547297,45.208333,-41.668267,-21.319444,377.925065,291.832747,-86.092318,1.805,4.285,62.773406,-15.4195
2024-02-21,81.148364,77.561073,384.083199,385.3387,384.2646,364.893821,435.576831,461.402471,30.821759,-50.326605,-14.895833,398.979032,309.761981,-89.217052,1.732,4.111,68.95101,21.71464
2024-02-22,88.32521,88.071095,445.58372,457.1656,454.9607,355.32828,370.024541,337.565859,29.155093,-59.170118,-5.173611,450.757331,392.355799,-58.401533,1.684,3.996,13.012261,-36.454681
2024-02-23,80.287702,77.390215,414.18898,404.1867,402.2158,297.34055,343.829612,317.884868,41.481481,-38.806221,-12.222222,426.411202,381.31814,-45.093062,1.668,3.96,44.821062,-29.904745
2024-02-24,46.491882,46.904892,374.088287,365.6864,363.4666,252.202881,199.181509,242.813919,11.076389,-35.415493,-18.240741,392.329028,337.938299,-54.390729,1.669,3.961,-54.690372,39.67141
2024-02-25,30.862179,32.535239,315.157028,314.8905,312.1806,326.252066,351.438866,309.288032,-34.131944,-64.994123,-53.240741,368.397768,318.777628,-49.62014,1.914,4.543,23.272799,-46.693834
2024-02-26,92.069995,94.119717,319.234946,311.6755,309.1841,389.00282,437.375038,431.355802,-30.25463,-122.324625,8.344907,310.890038,270.409013,-40.481025,2.01,4.772,46.362217,-10.791235
2024-02-27,103.630887,108.686143,360.065241,356.6462,353.6604,335.171762,393.245616,370.581489,39.409722,-64.221165,-34.988426,395.053667,304.04518,-91.008487,1.789,4.246,56.284854,-26.910126
2024-02-28,87.407853,89.949601,298.230554,295.9244,293.4519,391.66947,424.845375,438.235686,40.972222,-46.435631,-39.664352,337.894906,286.681731,-51.213175,1.743,4.136,31.432905,9.254311
2024-02-29,77.631259,77.871104,308.563378,308.7814,306.9911,388.309889,397.034319,341.554101,35.763889,-41.86737,-29.31713,337.880507,267.658029,-70.222478,1.705,4.048,7.01943,-59.528218
2024-03-01,70.613915,67.671112,332.248252,324.176,321.2885,279.813024,259.835159,280.438401,32.997685,-37.616229,-23.576389,355.824641,284.856742,-70.9679,1.575,3.739,-21.552864,16.864241
2024-03-02,84.104971,88.219121,107.737738,113.4958,112.6727,230.91942,266.695406,262.907709,21.296296,-62.808675,-20.104167,127.841904,226.44401,98.602105,1.537,3.649,34.238986,-7.436697
2024-03-03,67.524898,70.741154,159.590333,166.5512,165.597,168.479919,224.768122,256.935879,39.456019,-28.068879,-9.837963,169.428296,125.40358,-44.024716,1.522,3.613,54.766202,28.554757
2024-03-04,77.302388,76.466448,199.237813,201.0067,200.9249,275.356004,250.265913,214.923973,16.539352,-60.763037,-18.425926,217.663739,124.093522,-93.570216,1.607,3.814,-26.697092,-39.155939
2024-03-05,66.289614,65.313079,267.88568,266.5622,266.1919,279.684711,288.945756,274.419819,11.93287,-54.356744,-23.796296,291.681976,157.791468,-133.890508,1.734,4.116,7.527046,-18.641937
2024-03-06,42.219792,69.15124,286.232231,283.4192,282.5159,332.484576,389.33275,404.558859,-24.224537,-66.444329,14.43287,271.799361,236.121073,-35.678288,1.746,4.145,55.102174,11.081109
2024-03-07,54.687994,51.815461,302.795235,303.2982,302.9482,257.577559,304.060794,290.23176,14.94213,-39.745865,0.138889,302.656346,200.575628,-102.080719,1.655,3.928,44.828235,-17.757034
2024-03-08,68.699898,67.780639,291.759948,291.2701,290.8796,285.417982,311.707941,322.583625,13.356481,-55.343416,-0.046296,291.806244,281.969362,-9.836883,1.587,3.766,24.702959,7.109684
2024-03-09,97.603743,105.153148,114.079473,113.0016,113.6555,288.084478,277.653284,267.331867,49.247685,-48.356058,7.986111,106.093362,162.778222,56.68486,1.546,3.67,-11.977194,-13.991417
2024-03-10,98.23511,107.282526,198.69444,197.0175,196.5317,185.051264,222.956075,232.529415,67.291667,-30.943444,-2.175926,200.870366,130.9261,-69.944266,1.519,3.605,36.385811,5.96834
2024-03-11,34.567312,81.71854,259.252238,261.3596,261.525,284.133934,270.524556,204.544425,7.546296,-27.021016,-2.928241,262.180479,151.961485,-110.218994,1.488,3.533,-15.097377,-69.513131
2024-03-12,22.44969,83.587252,312.802551,312.7762,312.7711,281.139265,302.398038,313.702943,-9.31713,-31.766819,-17.615741,330.418292,305.801937,-24.616355,1.474,3.499,19.784772,7.805905
2024-03-13,22.974484,81.83543,282.152398,276.6646,276.3511,251.918534,283.503569,280.582764,-9.363426,-32.33791,-16.701389,298.853787,262.744504,-36.109283,1.465,3.477,30.120035,-6.397804
2024-03-14,22.5943,69.915207,267.008891,259.5865,259.4076,264.596814,323.894544,340.067308,-3.18287,-25.77717,-13.645833,280.654724,249.146003,-31.508721,1.401,3.326,57.896729,12.846764
2024-03-15,30.685633,59.529113,232.275409,235.5394,235.1933,249.658889,312.531525,278.735062,4.965278,-25.720355,-4.340278,236.615687,196.783298,-39.832388,1.397,3.315,61.475636,-37.111463
2024-03-16,37.60681,41.271417,157.485107,160.1578,159.8935,296.984963,267.950469,274.481726,3.842593,-33.764217,-18.703704,176.188811,169.534713,-6.654098,1.42,3.37,-30.454494,3.161258
2024-03-17,45.810637,48.931748,221.525336,216.6865,216.6523,199.289379,225.701356,235.044221,16.875,-28.935637,5.219907,216.305429,136.665711,-79.639718,1.42,3.37,24.991978,5.972865
2024-03-18,10.499822,45.413024,268.696285,267.0255,266.0551,283.046992,339.460947,315.189735,-22.094907,-32.59473,2.1875,266.508785,217.101672,-49.407113,1.38,3.275,55.033954,-27.546212
2024-03-19,10.179922,61.310773,307.815959,306.2294,304.9582,340.673937,285.398794,265.177457,-13.4375,-23.617422,-7.546296,315.362256,267.066699,-48.295556,1.361,3.23,-56.636143,-23.451337
2024-03-20,10.099723,61.777067,305.158703,305.4402,301.6435,311.85807,360.593566,361.382796,-16.631944,-26.731667,-10.729167,315.887869,283.246956,-32.640913,1.286,3.053,47.449496,-2.26377
2024-03-21,9.720616,92.688596,304.351677,298.2287,296.6564,319.321835,352.696347,371.576366,-31.828704,-41.549319,-12.210648,316.562325,292.731152,-23.831173,1.307,3.103,32.067512,15.777019
2024-03-22,21.811325,74.354844,312.13755,308.9782,310.4353,345.750559,367.263403,366.391858,15.798611,-6.012714,-13.229167,325.366717,255.287788,-70.078928,1.251,2.968,20.261844,-3.839545
2024-03-23,66.645936,71.80487,285.479984,282.5268,280.108,248.757283,261.871209,278.597121,29.548611,-37.097324,-13.518519,298.998503,312.650852,13.652349,1.262,2.995,11.851927,13.730911
2024-03-24,54.966449,53.718098,238.115646,236.8637,235.2229,239.29962,244.851541,238.420329,46.238426,-8.728023,-13.043981,251.159627,209.794764,-41.364863,1.289,3.06,4.262921,-9.491211
2024-03-25,10.852017,44.593336,209.618172,211.8179,210.1884,305.007333,353.359219,353.193621,-17.488426,-28.340443,-5.56713,215.185302,219.718558,4.533257,1.362,3.233,46.989885,-3.398598
2024-03-26,10.334041,46.917995,271.909485,276.6257,275.0879,287.388184,319.105822,313.629476,-4.733796,-15.067837,-37.55787,309.467355,162.503032,-146.964323,1.881,4.463,29.836638,-9.939346
2024-03-27,16.386124,38.955125,285.541589,285.1215,284.117,366.619576,332.1664,312.349211,-36.898148,-53.284272,10.925926,274.615663,167.34957,-107.266094,2.58,6.124,-37.033176,-25.941189
2024-03-28,45.815122,45.088009,278.473498,270.6039,268.532,217.617461,289.281559,311.911496,-14.00463,-59.819752,-5.87963,284.353127,207.513213,-76.839915,2.596,6.161,69.068099,16.468937
2024-03-29,34.50021,33.372797,255.237757,253.8729,251.4191,229.019948,240.572234,257.11338,-9.502315,-44.002525,-5.740741,260.978497,198.732853,-62.245645,2.366,5.615,9.186286,10.926146
2024-03-30,0.0,0.0,223.513929,225.8021,223.6809,239.856136,241.088772,232.632679,-20.925926,-20.925926,-13.877315,237.391244,163.18437,-74.206873,2.063,4.897,-0.830364,-13.353093
2024-03-31,35.309379,34.850687,230.290729,232.6888,230.2934,243.448087,254.846487,273.457823,-2229.340278,-2264.649657,-20.821759,251.112488,222.205835,-28.906653,1.896,4.5,9.502401,14.111335
2024-04-01,62.011962,66.746632,285.592621,286.9232,284.0648,307.561263,390.066303,404.361579,14.305556,-47.706406,-22.361111,307.953733,254.425836,-53.527897,1.767,4.194,80.73804,10.101276
2024-04-02,59.623926,63.538781,352.925221,358.6651,356.4715,401.635595,439.707922,409.955289,32.083333,-27.540593,-18.472222,371.397444,270.838503,-100.55894,1.765,4.189,36.307327,-33.941632
2024-04-03,49.883575,51.76746,332.469864,325.6721,323.3644,312.489749,345.003647,357.830728,27.858796,-22.024778,-11.50463,343.974494,325.546348,-18.428145,1.698,4.03,30.815898,8.797081
2024-04-04,57.546819,61.628815,293.043497,293.0945,290.2868,304.546109,310.212213,324.796089,25.578704,-31.968116,-19.618056,312.661552,272.106259,-40.555293,1.646,3.908,4.020103,10.675877
2024-04-05,52.679425,56.298915,324.745763,321.8319,320.0107,310.955852,347.430863,335.298681,21.481481,-31.197943,-16.782407,341.52817,252.864804,-88.663366,1.713,4.067,34.76201,-16.199182
2024-04-06,27.48753,27.499315,176.659663,174.7407,172.3429,303.943578,365.703847,342.345532,3.958333,-23.529197,1.388889,175.270775,195.939797,20.669022,1.715,4.07,60.045269,-27.428314
2024-04-07,35.386349,37.425277,222.267843,231.0233,229.3536,273.929935,253.998044,289.91529,-10.532407,-45.918757,33.078704,189.189139,122.334889,-66.854251,1.664,3.95,-21.595891,31.967246
2024-04-08,51.997462,54.46481,359.859613,348.0102,346.2731,343.994892,392.371641,351.605619,11.064815,-40.932647,76.678241,283.181373,192.489495,-90.691877,1.563,3.709,46.813749,-44.475021
2024-04-09,19.772255,20.012794,272.885258,277.3084,275.0421,336.855272,353.192862,365.893521,-0.150463,-19.922718,35.381944,237.503314,243.550183,6.046869,1.577,3.743,14.76059,8.957658
2024-04-10,46.32951,48.553219,300.926772,302.731,300.4006,336.30584,328.750588,339.07089,-83.113426,-129.442936,-103.703704,404.630476,280.435997,-124.194479,3.805,9.031,-11.360252,1.289302
2024-04-11,67.598459,70.146911,300.626323,299.2314,296.3503,330.361295,360.459459,355.115302,-351.655093,-419.253551,-215.891204,516.517526,448.621725,-67.895801,8.254,19.592,21.844164,-24.936157
2024-04-12,76.05939,80.041899,243.127796,255.3643,253.2445,399.74127,423.641778,434.738846,-629.108796,-705.168186,-364.039352,607.167147,99.781455,-507.385693,13.263,31.481,10.637508,-20.383932
2024-04-13,64.962469,65.568265,225.319122,238.8621,236.0434,230.795133,291.988813,337.821193,-320.243056,-385.205525,-100.509259,325.828381,-239.094032,-564.922413,13.371,31.736,47.82268,14.096381
2024-04-14,74.945212,75.927796,219.191256,229.7193,227.2316,288.231238,374.358,364.612999,-132.349537,-207.294749,-0.451389,219.642645,-97.928982,-317.571627,9.808,23.279,76.318762,-33.024001
2024-04-15,81.768069,82.413619,289.517026,290.497,288.8215,403.21673,410.001103,365.786404,-62.777778,-144.545847,66.990741,222.526286,-7.757251,-230.283537,7.81,18.536,-1.025627,-62.750699
2024-04-16,76.110344,75.39777,327.318021,316.3038,313.7233,341.862336,342.381856,349.745331,-32.511574,-108.621918,93.634259,233.683762,73.725733,-159.958029,5.912,14.033,-5.39248,-6.669526
2024-04-17,76.02243,75.517903,267.175224,267.9191,264.275,335.841354,459.681019,459.704271,-14.178241,-90.200671,95.104167,172.071057,82.452662,-89.618395,4.865,11.547,118.974664,-11.523748
2024-04-18,74.514433,73.144075,237.976868,238.8296,237.1702,362.537916,343.750331,315.720696,-4.108796,-78.623229,77.592593,160.384276,80.328779,-80.055497,4.218,10.012,-23.005584,-38.041636
2024-04-19,87.614182,87.246672,249.159092,252.4061,250.1347,312.274909,302.990766,276.392619,11.527778,-76.086404,54.12037,195.038721,100.408135,-94.630586,3.654,8.673,-12.938143,-35.271146
2024-04-20,75.787753,75.590846,225.375815,225.1969,223.1121,288.613018,250.259194,272.086624,25.648148,-50.139605,37.1875,188.188315,117.578123,-70.610192,3.194,7.581,-41.547825,14.24643
2024-04-21,70.081765,70.929819,117.244055,120.0172,118.1895,223.027503,282.189247,297.040489,5.115741,-64.966024,1.747685,115.49637,135.840967,20.344597,2.933,6.962,56.228744,7.889242
2024-04-22,88.41761,89.252609,255.798446,259.9057,257.6648,232.017725,251.268484,215.453649,34.189815,-54.227795,-20.266204,276.064649,124.757868,-151.306781,2.717,6.448,16.533759,-42.262835
2024-04-23,90.706787,91.317801,293.984971,289.614,286.5307,285.321772,288.213009,273.427254,44.513889,-46.192898,-11.736111,305.721082,231.172672,-74.54841,2.496,5.925,0.395237,-20.710755
2024-04-24,67.817168,69.293914,207.781177,208.2878,206.0673,267.535276,321.864809,324.518921,28.587963,-39.229205,-0.960648,208.741826,202.15684,-6.584986,2.323,5.514,52.006534,-2.859888
2024-04-25,71.251561,73.316036,85.504826,92.8914,90.6799,146.006683,219.087688,219.129017,21.168981,-50.08258,-4.467593,89.972419,118.737499,28.765081,2.369,5.623,70.712005,-5.581671
2024-04-26,69.79398,69.598074,175.050691,178.5956,176.7392,242.200168,234.786047,238.319378,6.435185,-63.358795,-37.835648,212.886339,57.347463,-155.538876,3.078,7.305,-10.492121,-3.771669
2024-04-27,71.275244,70.69098,189.058169,194.264,192.6416,244.573858,244.551078,237.986467,6.643519,-64.631726,-8.263889,197.322058,115.538498,-81.78356,3.353,7.959,-3.37578,-14.523611
2024-04-28,75.286283,76.20896,215.745206,220.8988,219.2011,241.500969,284.43855,274.265438,15.162037,-60.124246,-2.060185,217.805391,141.343182,-76.462208,2.856,6.778,40.081581,-16.951112
2024-04-29,73.022045,75.790732,279.18337,278.7088,277.2824,329.449855,348.434375,331.161709,24.930556,-48.09149,-10.775463,289.958833,192.150288,-97.808546,2.475,5.876,16.50952,-23.148666
2024-04-30,35.898943,74.573704,280.035101,281.7449,280.2767,337.508507,354.233866,366.635376,-8.37963,-44.278572,-10.092593,290.127694,234.206463,-55.921231,2.337,5.548,14.388358,6.85351
2024-05-01,70.80607,73.086927,278.903068,278.3261,277.2943,344.201171,355.830644,344.863935,20.555556,-50.250514,-15.185185,294.088253,247.475853,-46.6124,2.423,5.751,9.206473,-16.717709
2024-05-02,71.524095,73.920497,303.375904,303.1511,301.9413,379.082456,359.964153,366.868875,17.12963,-54.394466,-14.270833,317.646737,220.363904,-97.282833,2.545,6.04,-21.663303,0.864722
2024-05-03,71.869831,74.076339,326.551372,332.4434,331.9969,367.17492,409.989412,395.567207,21.597222,-50.272609,-8.460648,335.01202,269.677746,-65.334274,2.491,5.914,40.323492,-20.336206
2024-05-04,71.430619,73.490917,299.734715,294.0075,294.1812,263.44215,305.165088,324.144654,25.023148,-46.407471,-8.229167,307.963882,276.223232,-31.74065,2.253,5.347,39.469938,13.632567
2024-05-05,65.883235,67.743179,279.550836,272.6001,272.5241,209.09473,251.005513,276.069214,30.243056,-35.64018,-11.261574,290.81241,244.604309,-46.208101,2.13,5.054,39.780782,20.009701
2024-05-06,74.593197,77.498218,234.723125,238.1965,238.0335,303.968242,386.115947,361.782493,30.68287,-43.910326,-14.074074,248.797199,215.416884,-33.380315,2.1,4.985,80.047705,-29.318454
2024-05-07,72.210005,75.401824,277.528028,277.2679,277.6157,395.721116,377.634734,363.292147,37.349537,-34.860468,-9.62963,287.157657,209.799732,-77.357926,2.012,4.774,-20.098382,-19.116587
2024-05-08,76.943376,81.171844,340.181311,338.5794,338.3336,432.78036,512.648956,551.722804,41.712963,-35.230413,-4.085648,344.26696,288.176825,-56.090134,1.91,4.532,77.958596,34.541848
2024-05-09,75.84409,79.34442,291.17903,298.6017,297.5732,415.73862,420.654756,318.002516,40.358796,-35.485294,-13.043981,304.223011,271.062883,-33.160128,1.885,4.475,3.031137,-107.12724
2024-05-10,80.651021,85.567825,365.57073,370.5121,368.9433,459.771512,472.322078,476.816512,47.696759,-32.954262,-15.011574,380.582304,328.866881,-51.715423,1.802,4.277,10.748567,0.217434
2024-05-11,80.472322,85.157965,288.289672,282.3362,281.6886,395.416334,410.286113,396.364547,54.247685,-26.224637,-13.020833,301.310505,296.556743,-4.753762,1.775,4.214,13.094778,-18.135566
2024-05-12,74.686494,78.572701,360.450522,371.9213,371.8729,389.420067,411.834784,446.195728,45.532407,-29.154086,-5.266204,365.716726,289.05572,-76.661006,1.767,4.193,20.647717,30.167944
2024-05-13,78.369738,83.609987,355.788189,355.6587,355.5427,415.69133,449.206219,427.737204,48.020833,-30.348905,-6.608796,362.396985,322.126432,-40.270554,1.685,3.998,31.829889,-25.467014
2024-05-14,78.417284,83.757105,369.132498,371.8615,371.3832,396.611511,517.078225,536.634223,51.400463,-27.016821,-8.773148,377.905646,338.700827,-39.204819,1.634,3.878,118.832714,15.677998
2024-05-15,71.993988,77.1673,352.682298,358.0349,357.1633,374.458752,401.346009,421.92438,47.152778,-24.84121,-6.793981,359.476279,327.6238,-31.852479,1.59,3.774,25.297258,16.804371
