date,BEN_tributary_flow_m3s,BEN_downstream_mw_per_cumec,BEN_potential_generation_mwh,AVI_tributary_flow_m3s,AVI_downstream_mw_per_cumec,AVI_potential_generation_mwh,WTK_tributary_flow_m3s,WTK_downstream_mw_per_cumec,WTK_potential_generation_mwh,lower_tributary_potential_generation_mwh
2024-01-20,77.028,1.289945009,2384.68522,6.393,0.472283521,72.463405,15.175,0.162206002,59.075426,2516.224051
2024-01-21,89.367,1.289945009,2766.684375,7.417,0.472283521,84.070245,17.605,0.162206002,68.53528,2919.2899
2024-01-22,53.639,1.289945009,1660.592648,4.452,0.472283521,50.46255,10.567,0.162206002,41.13674,1752.191938
2024-01-23,55.841,1.289945009,1728.763662,4.635,0.472283521,52.536819,11.001,0.162206002,42.826277,1824.126758
2024-01-24,66.64,1.289945009,2063.08645,5.531,0.472283521,62.692804,13.128,0.162206002,51.106569,2176.885823
2024-01-25,57.792,1.289945009,1789.164047,4.797,0.472283521,54.373057,11.385,0.162206002,44.321168,1887.858272
2024-01-26,45.227,1.289945009,1400.16823,3.754,0.472283521,42.550856,8.91,0.162206002,34.686131,1477.405218
2024-01-27,71.99,1.289945009,2228.715389,5.975,0.472283521,67.725457,14.182,0.162206002,55.209732,2351.650578
2024-01-28,89.574,1.289945009,2773.092822,7.435,0.472283521,84.274271,17.646,0.162206002,68.694891,2926.061984
2024-01-29,68.992,1.289945009,2135.901266,5.726,0.472283521,64.903091,13.591,0.162206002,52.909002,2253.713359
2024-01-30,55.292,1.289945009,1711.767347,4.589,0.472283521,52.015418,10.893,0.162206002,42.405839,1806.188604
2024-01-31,46.331,1.289945009,1434.346613,3.845,0.472283521,43.582323,9.127,0.162206002,35.5309,1513.459837
2024-02-01,40.839,1.289945009,1264.321541,3.39,0.472283521,38.424987,8.045,0.162206002,31.318735,1334.065264
2024-02-02,40.538,1.289945009,1255.002979,3.365,0.472283521,38.141617,7.986,0.162206002,31.089051,1324.233647
2024-02-03,40.438,1.289945009,1251.907111,3.356,0.472283521,38.039604,7.966,0.162206002,31.011192,1320.957907
2024-02-04,37.552,1.289945009,1162.56036,3.117,0.472283521,35.330586,7.398,0.162206002,28.8,1226.690945
2024-02-05,32.909,1.289945009,1018.819207,2.731,0.472283521,30.955351,6.483,0.162206002,25.237956,1075.012515
2024-02-06,30.576,1.289945009,946.592606,2.538,0.472283521,28.767734,6.023,0.162206002,23.447202,998.807542
2024-02-07,28.865,1.289945009,893.622305,2.396,0.472283521,27.158192,5.686,0.162206002,22.13528,942.915776
2024-02-08,27.754,1.289945009,859.227211,2.304,0.472283521,26.11539,5.468,0.162206002,21.286618,906.629218
2024-02-09,26.265,1.289945009,813.129736,2.18,0.472283521,24.709874,5.174,0.162206002,20.142092,857.981702
2024-02-10,25.461,1.289945009,788.238957,2.113,0.472283521,23.950442,5.016,0.162206002,19.527007,831.716406
2024-02-11,25.182,1.289945009,779.601485,2.09,0.472283521,23.689741,4.961,0.162206002,19.312895,822.604122
2024-02-12,24.672,1.289945009,763.812558,2.048,0.472283521,23.21368,4.86,0.162206002,18.919708,805.945946
2024-02-13,23.516,1.289945009,728.024324,1.952,0.472283521,22.125538,4.633,0.162206002,18.03601,768.185872
2024-02-14,22.516,1.289945009,697.065644,1.869,0.472283521,21.18475,4.436,0.162206002,17.2691,735.519493
2024-02-15,22.086,1.289945009,683.753411,1.833,0.472283521,20.776697,4.351,0.162206002,16.9382,721.468307
2024-02-16,25.951,1.289945009,803.40871,2.154,0.472283521,24.415169,5.112,0.162206002,19.90073,847.724609
2024-02-17,26.559,1.289945009,822.231588,2.204,0.472283521,24.981909,5.232,0.162206002,20.367883,867.58138
2024-02-18,24.419,1.289945009,755.980012,2.027,0.472283521,22.975649,4.811,0.162206002,18.728954,797.684615
2024-02-19,22.517,1.289945009,697.096603,1.869,0.472283521,21.18475,4.436,0.162206002,17.2691,735.550452
2024-02-20,21.75,1.289945009,673.351295,1.805,0.472283521,20.459322,4.285,0.162206002,16.681265,710.491882
2024-02-21,20.869,1.289945009,646.076698,1.732,0.472283521,19.631881,4.111,0.162206002,16.003893,681.712472
2024-02-22,20.284,1.289945009,627.96587,1.684,0.472283521,19.087811,3.996,0.162206002,15.556204,662.609885
2024-02-23,20.1,1.289945009,622.269472,1.668,0.472283521,18.906454,3.96,0.162206002,15.416058,656.591985
2024-02-24,20.105,1.289945009,622.424266,1.669,0.472283521,18.917789,3.961,0.162206002,15.419951,656.762006
2024-02-25,23.062,1.289945009,713.969083,1.914,0.472283521,21.694816,4.543,0.162206002,17.685645,753.349544
2024-02-26,24.221,1.289945009,749.850194,2.01,0.472283521,22.782957,4.772,0.162206002,18.577129,791.21028
2024-02-27,21.553,1.289945009,667.252435,1.789,0.472283521,20.277965,4.246,0.162206002,16.52944,704.05984
2024-02-28,20.994,1.289945009,649.946533,1.743,0.472283521,19.756564,4.136,0.162206002,16.101217,685.804313
2024-02-29,20.548,1.289945009,636.138961,1.705,0.472283521,19.325842,4.048,0.162206002,15.758637,671.22344
2024-03-01,18.979,1.289945009,587.564792,1.575,0.472283521,17.852317,3.739,0.162206002,14.555718,619.972827
2024-03-02,18.524,1.289945009,573.478592,1.537,0.472283521,17.421595,3.649,0.162206002,14.205353,605.10554
2024-03-03,18.339,1.289945009,567.751237,1.522,0.472283521,17.251572,3.613,0.162206002,14.065207,599.068016
2024-03-04,19.362,1.289945009,599.421966,1.607,0.472283521,18.215031,3.814,0.162206002,14.847689,632.484686
2024-03-05,20.893,1.289945009,646.819706,1.734,0.472283521,19.654551,4.116,0.162206002,16.023358,682.497615
2024-03-06,21.04,1.289945009,651.370632,1.746,0.472283521,19.790569,4.145,0.162206002,16.136253,687.297454
2024-03-07,19.938,1.289945009,617.254166,1.655,0.472283521,18.759101,3.928,0.162206002,15.291484,651.304752
2024-03-08,19.119,1.289945009,591.899007,1.587,0.472283521,17.988335,3.766,0.162206002,14.660827,624.548169
2024-03-09,18.628,1.289945009,576.698295,1.546,0.472283521,17.523608,3.67,0.162206002,14.287105,608.509008
2024-03-10,18.302,1.289945009,566.605765,1.519,0.472283521,17.217568,3.605,0.162206002,14.034063,597.857397
2024-03-11,17.933,1.289945009,555.182012,1.488,0.472283521,16.866189,3.533,0.162206002,13.753771,585.801973
2024-03-12,17.763,1.289945009,549.919037,1.474,0.472283521,16.707502,3.499,0.162206002,13.621411,580.24795
2024-03-13,17.65,1.289945009,546.420706,1.465,0.472283521,16.605489,3.477,0.162206002,13.535766,576.561961
2024-03-14,16.884,1.289945009,522.706357,1.401,0.472283521,15.880061,3.326,0.162206002,12.947932,551.53435
2024-03-15,16.826,1.289945009,520.910753,1.397,0.472283521,15.834722,3.315,0.162206002,12.905109,549.650585
2024-03-16,17.109,1.289945009,529.67206,1.42,0.472283521,16.095422,3.37,0.162206002,13.119221,558.886704
2024-03-17,17.106,1.289945009,529.579184,1.42,0.472283521,16.095422,3.37,0.162206002,13.119221,558.793828
2024-03-18,16.626,1.289945009,514.719017,1.38,0.472283521,15.64203,3.275,0.162206002,12.749392,543.110439
2024-03-19,16.394,1.289945009,507.536604,1.361,0.472283521,15.426669,3.23,0.162206002,12.574209,535.537482
2024-03-20,15.497,1.289945009,479.766667,1.286,0.472283521,14.576559,3.053,0.162206002,11.885158,506.228384
2024-03-21,15.751,1.289945009,487.630172,1.307,0.472283521,14.814589,3.103,0.162206002,12.079805,514.524567
2024-03-22,15.068,1.289945009,466.485394,1.251,0.472283521,14.17984,2.968,0.162206002,11.554258,492.219492
2024-03-23,15.202,1.289945009,470.633857,1.262,0.472283521,14.304523,2.995,0.162206002,11.659367,496.597747
2024-03-24,15.531,1.289945009,480.819262,1.289,0.472283521,14.610563,3.06,0.162206002,11.912409,507.342234
2024-03-25,16.409,1.289945009,508.000984,1.362,0.472283521,15.438004,3.233,0.162206002,12.585888,536.024876
2024-03-26,22.657,1.289945009,701.430818,1.881,0.472283521,21.320767,4.463,0.162206002,17.374209,740.125794
2024-03-27,31.085,1.289945009,962.350575,2.58,0.472283521,29.243796,6.124,0.162206002,23.840389,1015.43476
2024-03-28,31.272,1.289945009,968.139848,2.596,0.472283521,29.425152,6.161,0.162206002,23.984428,1021.549429
2024-03-29,28.503,1.289945009,882.415262,2.366,0.472283521,26.818147,5.615,0.162206002,21.858881,931.092291
2024-03-30,24.86,1.289945009,769.63279,2.063,0.472283521,23.383702,4.897,0.162206002,19.063747,812.080239
2024-03-31,22.844,1.289945009,707.220091,1.896,0.472283521,21.490789,4.5,0.162206002,17.518248,746.229128
2024-04-01,21.289,1.289945009,659.079343,1.767,0.472283521,20.0286,4.194,0.162206002,16.327007,695.43495
2024-04-02,21.263,1.289945009,658.274418,1.765,0.472283521,20.00593,4.189,0.162206002,16.307543,694.58789
2024-04-03,20.458,1.289945009,633.35268,1.698,0.472283521,19.246498,4.03,0.162206002,15.688564,668.287742
2024-04-04,19.836,1.289945009,614.096381,1.646,0.472283521,18.657088,3.908,0.162206002,15.213625,647.967094
2024-04-05,20.643,1.289945009,639.080036,1.713,0.472283521,19.41652,4.067,0.162206002,15.832603,674.329159
2024-04-06,20.661,1.289945009,639.637292,1.715,0.472283521,19.43919,4.07,0.162206002,15.844282,674.920764
2024-04-07,20.052,1.289945009,620.783456,1.664,0.472283521,18.861115,3.95,0.162206002,15.377129,655.021699
2024-04-08,18.827,1.289945009,582.859072,1.563,0.472283521,17.716299,3.709,0.162206002,14.438929,615.014301
2024-04-09,19.002,1.289945009,588.276842,1.577,0.472283521,17.874987,3.743,0.162206002,14.57129,620.723118
2024-04-10,45.845,1.289945009,1419.300695,3.805,0.472283521,43.128931,9.031,0.162206002,35.157178,1497.586803
2024-04-11,99.451,1.289945009,3078.871707,8.254,0.472283521,93.557476,19.592,0.162206002,76.27056,3248.699742
2024-04-12,159.8,1.289945009,4947.197099,13.263,0.472283521,150.333512,31.481,0.162206002,122.553771,5220.084383
2024-04-13,161.095,1.289945009,4987.28859,13.371,0.472283521,151.557671,31.736,0.162206002,123.546472,5262.392733
2024-04-14,118.168,1.289945009,3658.325324,9.808,0.472283521,111.171763,23.279,0.162206002,90.623844,3860.120931
2024-04-15,94.093,1.289945009,2912.995098,7.81,0.472283521,88.524823,18.536,0.162206002,72.159611,3073.679532
2024-04-16,71.233,1.289945009,2205.279668,5.912,0.472283521,67.011364,14.033,0.162206002,54.629684,2326.920716
2024-04-17,58.613,1.289945009,1814.581124,4.865,0.472283521,55.143824,11.547,0.162206002,44.951825,1914.676772
2024-04-18,50.821,1.289945009,1573.351087,4.218,0.472283521,47.810205,10.012,0.162206002,38.976156,1660.137449
2024-04-19,44.027,1.289945009,1363.017814,3.654,0.472283521,41.417376,8.673,0.162206002,33.763504,1438.198693
2024-04-20,38.481,1.289945009,1191.320974,3.194,0.472283521,36.203366,7.581,0.162206002,29.512409,1257.036748
2024-04-21,35.34,1.289945009,1094.079759,2.933,0.472283521,33.244982,6.962,0.162206002,27.102676,1154.427417
2024-04-22,32.731,1.289945009,1013.308562,2.717,0.472283521,30.796664,6.448,0.162206002,25.101703,1069.206929
2024-04-23,30.076,1.289945009,931.113266,2.496,0.472283521,28.291672,5.925,0.162206002,23.065693,982.470632
2024-04-24,27.991,1.289945009,866.564418,2.323,0.472283521,26.330751,5.514,0.162206002,21.465693,914.360862
2024-04-25,28.545,1.289945009,883.715527,2.369,0.472283521,26.852152,5.623,0.162206002,21.890024,932.457703
2024-04-26,37.083,1.289945009,1148.040739,3.078,0.472283521,34.888528,7.305,0.162206002,28.437956,1211.367223
2024-04-27,40.399,1.289945009,1250.699722,3.353,0.472283521,38.0056,7.959,0.162206002,30.983942,1319.689263
2024-04-28,34.408,1.289945009,1065.226269,2.856,0.472283521,32.372202,6.778,0.162206002,26.386375,1123.984845
2024-04-29,29.825,1.289945009,923.342638,2.475,0.472283521,28.053641,5.876,0.162206002,22.874939,974.271218
2024-04-30,28.161,1.289945009,871.827394,2.337,0.472283521,26.489438,5.548,0.162206002,21.598054,919.914885
2024-05-01,29.193,1.289945009,903.776752,2.423,0.472283521,27.464231,5.751,0.162206002,22.388321,953.629304
2024-05-02,30.661,1.289945009,949.224094,2.545,0.472283521,28.847077,6.04,0.162206002,23.513382,1001.584554
2024-05-03,30.018,1.289945009,929.317663,2.491,0.472283521,28.234998,5.914,0.162206002,23.022871,980.575532
2024-05-04,27.144,1.289945009,840.342416,2.253,0.472283521,25.537315,5.347,0.162206002,20.815572,886.695302
2024-05-05,25.657,1.289945009,794.306858,2.13,0.472283521,24.143134,5.054,0.162206002,19.674939,838.124931
2024-05-06,25.304,1.289945009,783.378444,2.1,0.472283521,23.803089,4.985,0.162206002,19.406326,826.58786
2024-05-07,24.236,1.289945009,750.314574,2.012,0.472283521,22.805627,4.774,0.162206002,18.584915,791.705115
2024-05-08,23.007,1.289945009,712.266356,1.91,0.472283521,21.649477,4.532,0.162206002,17.642822,751.558655
2024-05-09,22.716,1.289945009,703.25738,1.885,0.472283521,21.366106,4.475,0.162206002,17.420925,742.044411
2024-05-10,21.713,1.289945009,672.205824,1.802,0.472283521,20.425318,4.277,0.162206002,16.650122,709.281263
2024-05-11,21.39,1.289945009,662.20617,1.775,0.472283521,20.119278,4.214,0.162206002,16.404866,698.730314
2024-05-12,21.285,1.289945009,658.955508,1.767,0.472283521,20.0286,4.193,0.162206002,16.323114,695.307222
2024-05-13,20.296,1.289945009,628.337374,1.685,0.472283521,19.099146,3.998,0.162206002,15.56399,663.00051
2024-05-14,19.684,1.289945009,609.390661,1.634,0.472283521,18.521071,3.878,0.162206002,15.096837,643.008569
2024-05-15,19.157,1.289945009,593.075437,1.59,0.472283521,18.022339,3.774,0.162206002,14.691971,625.789747
2024-05-16,19.561,1.289945009,605.582744,1.624,0.472283521,18.407723,3.854,0.162206002,15.003406,638.993873
2024-05-17,18.183,1.289945009,562.921682,1.509,0.472283521,17.10422,3.582,0.162206002,13.944526,593.970428
2024-05-18,18.912,1.289945009,585.49056,1.57,0.472283521,17.795643,3.726,0.162206002,14.505109,617.791313
2024-05-19,20.701,1.289945009,640.875639,1.718,0.472283521,19.473194,4.078,0.162206002,15.875426,676.224259
2024-05-20,20.324,1.289945009,629.204217,1.687,0.472283521,19.121815,4.004,0.162206002,15.587348,663.91338
2024-05-21,20.143,1.289945009,623.600696,1.672,0.472283521,18.951793,3.968,0.162206002,15.447202,657.999691
2024-05-22,20.625,1.289945009,638.52278,1.712,0.472283521,19.405185,4.063,0.162206002,15.817032,673.744996
2024-05-23,20.632,1.289945009,638.73949,1.712,0.472283521,19.405185,4.065,0.162206002,15.824818,673.969493
2024-05-24,20.532,1.289945009,635.643622,1.704,0.472283521,19.314507,4.045,0.162206002,15.746959,670.705088
2024-05-25,19.856,1.289945009,614.715554,1.648,0.472283521,18.679758,3.912,0.162206002,15.229197,648.624509
2024-05-26,19.32,1.289945009,598.121702,1.604,0.472283521,18.181026,3.806,0.162206002,14.816545,631.119273
2024-05-27,18.558,1.289945009,574.531188,1.54,0.472283521,17.455599,3.656,0.162206002,14.232603,606.21939
2024-05-28,18.455,1.289945009,571.342443,1.532,0.472283521,17.364921,3.636,0.162206002,14.154745,602.862108
2024-05-29,18.434,1.289945009,570.692311,1.53,0.472283521,17.342251,3.631,0.162206002,14.13528,602.169842
2024-05-30,17.957,1.289945009,555.925021,1.49,0.472283521,16.888859,3.538,0.162206002,13.773236,586.587115
2024-05-31,17.718,1.289945009,548.525896,1.471,0.472283521,16.673497,3.49,0.162206002,13.586375,578.785768
2024-06-01,19.039,1.289945009,589.422313,1.58,0.472283521,17.908991,3.751,0.162206002,14.602433,621.933737
2024-06-02,22.175,1.289945009,686.508734,1.841,0.472283521,20.867375,4.368,0.162206002,17.00438,724.380489
2024-06-03,21.554,1.289945009,667.283393,1.789,0.472283521,20.277965,4.246,0.162206002,16.52944,704.090799
2024-06-04,20.284,1.289945009,627.96587,1.684,0.472283521,19.087811,3.996,0.162206002,15.556204,662.609885
2024-06-05,19.92,1.289945009,616.69691,1.653,0.472283521,18.736432,3.924,0.162206002,15.275912,650.709254
2024-06-06,19.686,1.289945009,609.452579,1.634,0.472283521,18.521071,3.878,0.162206002,15.096837,643.070486
2024-06-07,19.047,1.289945009,589.669982,1.581,0.472283521,17.920326,3.752,0.162206002,14.606326,622.196634
2024-06-08,19.111,1.289945009,591.651338,1.586,0.472283521,17.977,3.765,0.162206002,14.656934,624.285272
2024-06-09,18.253,1.289945009,565.08879,1.515,0.472283521,17.172229,3.596,0.162206002,13.999027,596.260046
2024-06-10,18.398,1.289945009,569.577799,1.527,0.472283521,17.308246,3.624,0.162206002,14.108029,600.994074
2024-06-11,19.638,1.289945009,607.966562,1.63,0.472283521,18.475731,3.869,0.162206002,15.0618,641.504094
2024-06-12,18.999,1.289945009,588.183965,1.577,0.472283521,17.874987,3.743,0.162206002,14.57129,620.630242
2024-06-13,18.052,1.289945009,558.866095,1.498,0.472283521,16.979537,3.556,0.162206002,13.843309,589.688941
2024-06-14,18.694,1.289945009,578.741568,1.552,0.472283521,17.591617,3.683,0.162206002,14.337713,610.670898
2024-06-15,19.654,1.289945009,608.461901,1.631,0.472283521,18.487066,3.872,0.162206002,15.073479,642.022446
2024-06-16,19.696,1.289945009,609.762166,1.635,0.472283521,18.532405,3.88,0.162206002,15.104623,643.399194
2024-06-17,20.418,1.289945009,632.114333,1.695,0.472283521,19.212494,4.022,0.162206002,15.657421,666.984247
2024-06-18,22.223,1.289945009,687.994751,1.845,0.472283521,20.912714,4.378,0.162206002,17.043309,725.950774
2024-06-19,24.053,1.289945009,744.649135,1.996,0.472283521,22.62427,4.738,0.162206002,18.444769,785.718174
2024-06-20,24.34,1.289945009,753.534277,2.02,0.472283521,22.896305,4.795,0.162206002,18.666667,795.097248
2024-06-21,23.094,1.289945009,714.959761,1.917,0.472283521,21.72882,4.55,0.162206002,17.712895,754.401477
2024-06-22,21.87,1.289945009,677.066336,1.815,0.472283521,20.57267,4.308,0.162206002,16.770803,714.409809
2024-06-23,21.568,1.289945009,667.716815,1.79,0.472283521,20.2893,4.249,0.162206002,16.541119,704.547234
2024-06-24,21.804,1.289945009,675.023064,1.81,0.472283521,20.515996,4.295,0.162206002,16.720195,712.259254
2024-06-25,23.28,1.289945009,720.718076,1.932,0.472283521,21.898842,4.586,0.162206002,17.853041,760.469959
2024-06-26,23.033,1.289945009,713.071281,1.912,0.472283521,21.672146,4.538,0.162206002,17.66618,752.409608
2024-06-27,22.248,1.289945009,688.768718,1.847,0.472283521,20.935384,4.383,0.162206002,17.062774,726.766875
2024-06-28,20.987,1.289945009,649.729822,1.742,0.472283521,19.745229,4.134,0.162206002,16.093431,685.568482
2024-06-29,21.074,1.289945009,652.423227,1.749,0.472283521,19.824573,4.152,0.162206002,16.163504,688.411304
2024-06-30,19.991,1.289945009,618.894976,1.659,0.472283521,18.804441,3.938,0.162206002,15.330414,653.029831
2024-07-01,35.141,1.289945009,1087.918982,2.917,0.472283521,33.063625,6.923,0.162206002,26.950852,1147.933458
2024-07-02,54.825,1.289945009,1697.309643,4.55,0.472283521,51.57336,10.801,0.162206002,42.047689,1790.930692
2024-07-03,52.002,1.289945009,1609.913289,4.316,0.472283521,48.921016,10.244,0.162206002,39.879319,1698.713624
2024-07-04,40.393,1.289945009,1250.51397,3.353,0.472283521,38.0056,7.957,0.162206002,30.976156,1319.495725
2024-07-05,34.821,1.289945009,1078.012204,2.89,0.472283521,32.757585,6.86,0.162206002,26.705596,1137.475385
2024-07-06,31.155,1.289945009,964.517682,2.586,0.472283521,29.311804,6.138,0.162206002,23.894891,1017.724377
2024-07-07,29.646,1.289945009,917.801034,2.461,0.472283521,27.894954,5.84,0.162206002,22.734793,968.430781
2024-07-08,27.805,1.289945009,860.806104,2.308,0.472283521,26.160729,5.478,0.162206002,21.325547,908.29238
2024-07-09,26.536,1.289945009,821.519538,2.202,0.472283521,24.95924,5.228,0.162206002,20.352311,866.831089
2024-07-10,25.09,1.289945009,776.753287,2.082,0.472283521,23.599063,4.943,0.162206002,19.242822,819.595172
2024-07-11,24.124,1.289945009,746.847202,2.002,0.472283521,22.692279,4.752,0.162206002,18.49927,788.03875
2024-07-12,23.44,1.289945009,725.671464,1.946,0.472283521,22.05753,4.618,0.162206002,17.977616,765.706609
2024-07-13,22.816,1.289945009,706.353248,1.894,0.472283521,21.46812,4.495,0.162206002,17.498783,745.320151
2024-07-14,21.314,1.289945009,659.85331,1.769,0.472283521,20.051269,4.199,0.162206002,16.346472,696.251051
2024-07-15,21.247,1.289945009,657.779079,1.764,0.472283521,19.994595,4.186,0.162206002,16.295864,694.069538
2024-07-16,20.179,1.289945009,624.715208,1.675,0.472283521,18.985798,3.975,0.162206002,15.474453,659.175458
2024-07-17,20.377,1.289945009,630.845027,1.691,0.472283521,19.167154,4.014,0.162206002,15.626277,665.638459
2024-07-18,19.875,1.289945009,615.303769,1.65,0.472283521,18.702427,3.915,0.162206002,15.240876,649.247073
2024-07-19,18.869,1.289945009,584.159337,1.566,0.472283521,17.750304,3.717,0.162206002,14.470073,616.379714
2024-07-20,18.355,1.289945009,568.246575,1.523,0.472283521,17.262907,3.616,0.162206002,14.076886,599.586368
2024-07-21,18.036,1.289945009,558.370756,1.497,0.472283521,16.968202,3.553,0.162206002,13.83163,589.170589
2024-07-22,17.803,1.289945009,551.157384,1.478,0.472283521,16.752841,3.507,0.162206002,13.652555,581.56278
2024-07-23,17.966,1.289945009,556.203649,1.491,0.472283521,16.900194,3.539,0.162206002,13.777129,586.880971
2024-07-24,17.586,1.289945009,544.43935,1.46,0.472283521,16.548815,3.464,0.162206002,13.485158,574.473323
2024-07-25,16.53,1.289945009,511.746984,1.372,0.472283521,15.551352,3.256,0.162206002,12.675426,539.973762
2024-07-26,16.968,1.289945009,525.306886,1.408,0.472283521,15.959405,3.343,0.162206002,13.014112,554.280403
2024-07-27,16.693,1.289945009,516.793249,1.386,0.472283521,15.710039,3.289,0.162206002,12.803893,545.307181
2024-07-28,16.936,1.289945009,524.316208,1.406,0.472283521,15.936735,3.336,0.162206002,12.986861,553.239805
2024-07-29,18.586,1.289945009,575.398031,1.543,0.472283521,17.489603,3.661,0.162206002,14.252068,607.139702
2024-07-30,22.773,1.289945009,705.022025,1.89,0.472283521,21.422781,4.486,0.162206002,17.463747,743.908552
2024-07-31,23.393,1.289945009,724.216406,1.942,0.472283521,22.01219,4.608,0.162206002,17.938686,764.167283
2024-08-01,20.271,1.289945009,627.563407,1.682,0.472283521,19.065141,3.993,0.162206002,15.544526,662.173073
2024-08-02,18.946,1.289945009,586.543155,1.573,0.472283521,17.829647,3.732,0.162206002,14.528467,618.90127
2024-08-03,18.678,1.289945009,578.246229,1.55,0.472283521,17.568947,3.68,0.162206002,14.326034,610.14121
2024-08-04,17.635,1.289945009,545.956326,1.464,0.472283521,16.594154,3.474,0.162206002,13.524088,576.074567
2024-08-05,17.39,1.289945009,538.371449,1.443,0.472283521,16.356123,3.426,0.162206002,13.337226,568.064798
2024-08-06,18.281,1.289945009,565.955633,1.517,0.472283521,17.194898,3.601,0.162206002,14.018491,597.169023
2024-08-07,18.348,1.289945009,568.029865,1.523,0.472283521,17.262907,3.615,0.162206002,14.072993,599.365765
2024-08-08,18.372,1.289945009,568.772873,1.525,0.472283521,17.285577,3.619,0.162206002,14.088564,600.147014
2024-08-09,19.853,1.289945009,614.622678,1.648,0.472283521,18.679758,3.911,0.162206002,15.225304,648.52774
2024-08-10,19.58,1.289945009,606.170959,1.625,0.472283521,18.419057,3.857,0.162206002,15.015085,639.605101
2024-08-11,19.266,1.289945009,596.449933,1.599,0.472283521,18.124352,3.795,0.162206002,14.773723,629.348008
2024-08-12,19.926,1.289945009,616.882662,1.654,0.472283521,18.747767,3.925,0.162206002,15.279805,650.910234
2024-08-13,20.155,1.289945009,623.9722,1.673,0.472283521,18.963128,3.971,0.162206002,15.458881,658.394209
2024-08-14,19.902,1.289945009,616.139654,1.652,0.472283521,18.725097,3.921,0.162206002,15.264234,650.128984
2024-08-15,20.234,1.289945009,626.417936,1.679,0.472283521,19.031137,3.986,0.162206002,15.517275,660.966347
2024-08-16,20.14,1.289945009,623.50782,1.672,0.472283521,18.951793,3.968,0.162206002,15.447202,657.906815
2024-08-17,20.253,1.289945009,627.00615,1.681,0.472283521,19.053806,3.99,0.162206002,15.532847,661.592804
2024-08-18,20.117,1.289945009,622.79577,1.67,0.472283521,18.929124,3.963,0.162206002,15.427737,657.152631
2024-08-19,20.225,1.289945009,626.139307,1.679,0.472283521,19.031137,3.984,0.162206002,15.509489,660.679933
2024-08-20,19.478,1.289945009,603.013173,1.617,0.472283521,18.328379,3.837,0.162206002,14.937226,636.278778
2024-08-21,19.632,1.289945009,607.78081,1.629,0.472283521,18.464397,3.868,0.162206002,15.057908,641.303114
2024-08-22,19.142,1.289945009,592.611057,1.589,0.472283521,18.011004,3.771,0.162206002,14.680292,625.302353
2024-08-23,30.631,1.289945009,948.295334,2.542,0.472283521,28.813073,6.034,0.162206002,23.490024,1000.598431
2024-08-24,51.528,1.289945009,1595.238874,4.277,0.472283521,48.478959,10.151,0.162206002,39.517275,1683.235108
2024-08-25,64.956,1.289945009,2010.952032,5.391,0.472283521,61.105931,12.796,0.162206002,49.814112,2121.872075
