date,TKA_generation_mwh,TKA_implied_turbine_flow_m3s,TKB_generation_mwh,TKB_implied_turbine_flow_m3s,OHA_generation_mwh,OHA_implied_turbine_flow_m3s,OHB_generation_mwh,OHB_implied_turbine_flow_m3s,OHC_generation_mwh,OHC_implied_turbine_flow_m3s,BEN_generation_mwh,BEN_implied_turbine_flow_m3s,AVI_generation_mwh,AVI_implied_turbine_flow_m3s,WTK_generation_mwh,WTK_implied_turbine_flow_m3s,BEN_derived_tributary_flow_m3s,AVI_derived_tributary_flow_m3s,WTK_derived_tributary_flow_m3s
2024-01-11,372.29,66.795031,2133.666,69.201901,3425.278,285.154393,2859.532,285.9532,2842.484,284.2484,5453.917,277.92252,2696.185,362.299859,1430.025,367.337672,19.667,1.632,3.874
2024-01-12,392.454,70.412789,2337.688,75.819014,3654.45,304.232962,3076.597,307.6597,3059.872,305.9872,7381.885,376.168556,2252.874,302.729944,1090.815,280.203103,19.653,1.631,3.872
2024-01-13,470.356,84.389706,2874.115,93.21713,3282.83,273.295597,2661.255,266.1255,2637.515,263.7515,3873.69,197.396786,1797.282,241.509769,1069.355,274.690566,19.128,1.588,3.768
2024-01-14,408.951,73.372625,2451.562,79.512328,2188.457,182.189045,1833.352,183.3352,1824.25,182.425,5011.111,255.357865,2028.575,272.589766,1019.858,261.976024,20.207,1.677,3.981
2024-01-15,461.712,82.838828,2696.415,87.453726,3646.356,303.559137,3130.938,313.0938,3117.168,311.7168,7517.222,383.065104,2779.623,373.511841,1406.531,361.302651,23.69,1.966,4.667
2024-01-16,458.62,82.284072,2703.641,87.68809,4674.135,389.121739,4051.706,405.1706,4034.037,403.4037,7698.85,392.320565,3227.975,433.759141,1723.586,442.746154,23.514,1.952,4.632
2024-01-17,454.427,81.531778,2655.78,86.135798,4620.542,384.660122,4007.39,400.739,3988.875,398.8875,10308.604,525.309279,4175.674,561.106194,2125.027,545.866311,20.401,1.693,4.019
2024-01-18,483.97,86.832284,2890.602,93.751858,4666.791,388.510351,3997.197,399.7197,3982.992,398.2992,11392.416,580.538532,4312.962,579.554269,2140.409,549.817562,19.632,1.629,3.868
2024-01-19,533.707,95.755931,3238.258,105.027501,4863.226,404.863564,4100.618,410.0618,4094.061,409.4061,6275.399,319.783874,2869.038,385.526981,1668.057,428.482142,28.833,2.393,5.68
2024-01-20,499.14,89.554035,2997.192,97.208927,3779.249,314.622479,3122.336,312.2336,3105.869,310.5869,5782.542,294.668703,2040.72,274.22175,1061.419,272.652006,77.028,6.393,15.175
2024-01-21,384.534,68.991809,2284.533,74.09502,3977.333,331.112972,3268.271,326.8271,3250.503,325.0503,7923.482,403.767437,3150.332,423.325863,1548.462,397.761176,89.367,7.417,17.605
2024-01-22,274.587,49.265484,1468.939,47.642588,4710.811,392.175016,3934.252,393.4252,3917.956,391.7956,8357.779,425.898488,3516.16,472.484,1806.371,464.011551,53.639,4.452,10.567
2024-01-23,205.362,36.845365,1102.707,35.764464,3758.789,312.919184,3093.969,309.3969,3078.058,307.8058,7068.277,360.187615,3421.748,459.797388,1805.938,463.900324,55.841,4.635,11.001
2024-01-24,481.669,86.419446,2633.534,85.414286,4474.154,372.473321,3705.226,370.5226,3689.44,368.944,8200.6,417.888908,3657.767,491.512441,1821.256,467.835135,66.64,5.531,13.128
2024-01-25,461.861,82.865561,2495.341,80.932226,4582.069,381.457244,3814.364,381.4364,3793.847,379.3847,8439.957,430.086142,3618.637,486.254347,1799.434,462.229609,57.792,4.797,11.385
2024-01-26,382.105,68.556005,2031.877,65.900544,5206.34,433.427805,4343.308,434.3308,4321.495,432.1495,8226.021,419.18432,2642.477,355.082847,1389.063,356.815558,45.227,3.754,8.91
2024-01-27,241.548,43.337737,1374.988,44.595444,3366.862,280.291262,2808.533,280.8533,2787.291,278.7291,5442.487,277.340067,1892.712,254.333175,965.015,247.888228,71.99,5.975,14.182
2024-01-28,401.329,72.005111,2236.953,72.551842,2676.899,222.851842,2277.846,227.7846,2259.299,225.9299,6822.284,347.652222,2891.569,388.554584,1364.882,350.604064,89.574,7.435,17.646
2024-01-29,133.445,23.942257,661.048,21.43999,3357.713,279.529607,2856.154,285.6154,2842.173,284.2173,6497.067,331.079706,3155.131,423.970728,1593.677,409.375779,68.992,5.726,13.591
2024-01-30,381.04,68.364927,2043.907,66.290717,3447.415,286.997299,2765.889,276.5889,2758.306,275.8306,8043.823,409.899814,3674.408,493.748575,1716.018,440.802124,55.292,4.589,10.893
2024-01-31,409.143,73.407073,2222.152,72.071797,4158.248,346.174146,3557.349,355.7349,3540.484,354.0484,9784.507,498.602169,3608.499,484.892053,1641.479,421.654918,46.331,3.845,9.127
2024-02-01,484.835,86.98748,2606.732,84.545008,4841.699,403.071442,4125.673,412.5673,4116.548,411.6548,7518.416,383.125949,2806.023,377.059341,1345.801,345.702632,40.839,3.39,8.045
2024-02-02,392.227,70.372061,2038.415,66.112593,4236.963,352.72717,3417.312,341.7312,3391.612,339.1612,6243.313,318.148825,1962.362,263.692394,861.561,221.313482,40.538,3.365,7.986
2024-02-03,200.406,35.956177,1124.287,36.464375,3257.665,271.200611,2720.58,272.058,2700.1,270.01,3809.695,194.135708,1624.039,218.230241,901.674,231.617509,40.438,3.356,7.966
2024-02-04,257.815,46.256308,1416.635,45.946195,2398.933,199.711172,2041.853,204.1853,2032.704,203.2704,5865.652,298.90385,2562.577,344.346284,1302.707,334.632861,37.552,3.117,7.398
2024-02-05,454.397,81.526395,2487.149,80.666533,3206.759,266.962687,2629.853,262.9853,2616.193,261.6193,6376.691,324.945546,2823.57,379.417219,1341.594,344.621959,32.909,2.731,6.483
2024-02-06,468.15,83.993912,2612.774,84.74097,3648.409,303.730049,3039.008,303.9008,3017.69,301.769,3791.533,193.210202,1924.049,258.544084,962.589,247.265049,30.576,2.538,6.023
2024-02-07,565.577,101.47394,3113.434,100.979043,3818.642,317.901947,3200.967,320.0967,3190.42,319.042,8511.847,433.749537,2880.565,387.075922,1437.761,369.324857,28.865,2.396,5.686
2024-02-08,575.366,103.23025,3202.795,103.877318,4367.016,363.554082,3686.653,368.6653,3670.271,367.0271,8262.026,421.019075,3828.089,514.399459,1875.657,481.809392,27.754,2.304,5.468
2024-02-09,570.467,102.351288,3158.298,102.434132,4266.157,355.15757,3559.09,355.909,3547.403,354.7403,8405.877,428.349482,3690.974,495.974631,2032.966,522.218141,26.265,2.18,5.174
2024-02-10,484.245,86.881624,2638.813,85.585502,3453.568,287.509536,2757.272,275.7272,2744.956,274.4956,5702.738,290.602024,2078.929,279.356084,992.319,254.901943,25.461,2.113,5.016
2024-02-11,329.398,59.099491,1720.605,55.804955,3401.449,283.170629,2787.789,278.7789,2776.544,277.6544,5044.514,257.060026,1721.35,231.306406,795.507,204.345861,25.182,2.09,4.961
2024-02-12,506.864,90.939849,2792.777,90.579067,4795.285,399.207476,4015.558,401.5558,3991.418,399.1418,7596.477,387.103807,2742.175,368.479766,1352.002,347.295514,24.672,2.048,4.86
2024-02-13,572.938,102.794626,3208.431,104.060112,4843.204,403.196733,4027.603,402.7603,4000.808,400.0808,7383.66,376.259007,2883.132,387.420862,1478.045,379.672809,23.516,1.952,4.633
2024-02-14,566.626,101.662148,3165.631,102.671965,4154.917,345.89684,3461.962,346.1962,3435.125,343.5125,7177.01,365.728468,2910.296,391.071025,1426.006,366.305291,22.516,1.869,4.436
2024-02-15,575.299,103.218229,3256.032,105.603971,3480.143,289.721905,2897.133,289.7133,2872.419,287.2419,7415.683,377.890846,3206.543,430.879216,1661.399,426.771868,22.086,1.833,4.351
2024-02-16,587.761,105.454119,3388.949,109.914913,4288.839,357.045847,3567.923,356.7923,3548.011,354.8011,7255.979,369.752597,2824.5,379.542188,1410.21,362.247694,25.951,2.154,5.112
2024-02-17,556.802,99.899559,3169.152,102.786163,2599.887,216.440593,2210.045,221.0045,2198.738,219.8738,5947.868,303.09344,2035.717,273.549472,1080.612,277.582207,26.559,2.204,5.232
2024-02-18,494.496,88.720824,2746.748,89.086193,2045.372,170.277219,1631.187,163.1187,1630.415,163.0415,4669.551,237.952536,2031.653,273.003372,1070.012,274.859332,24.419,2.027,4.811
2024-02-19,503.611,90.356207,2812.423,91.216253,2793.95,232.596337,2372.047,237.2047,2361.286,236.1286,7678.494,391.283257,3015.244,405.173413,1412.945,362.950247,22.517,1.869,4.436
2024-02-20,484.217,86.8766,2719.902,88.215488,4283.551,356.605621,3529.58,352.958,3520.202,352.0202,8989.764,458.10339,3889.725,522.681797,1991.425,511.547297,21.75,1.805,4.285
2024-02-21,452.29,81.148364,2391.4,77.561073,4613.612,384.083199,3853.387,385.3387,3842.646,384.2646,7160.631,364.893821,3241.502,435.576831,1796.214,461.402471,20.869,1.732,4.111
2024-02-22,492.291,88.32521,2715.45,88.071095,5352.357,445.58372,4571.656,457.1656,4549.607,454.9607,6972.918,355.32828,2753.671,370.024541,1314.125,337.565859,20.284,1.684,3.996
2024-02-23,447.493,80.287702,2386.132,77.390215,4975.243,414.18898,4041.867,404.1867,4022.158,402.2158,5834.974,297.34055,2558.732,343.829612,1237.508,317.884868,20.1,1.668,3.96
2024-02-24,259.128,46.491882,1446.194,46.904892,4493.553,374.088287,3656.864,365.6864,3634.666,363.4666,4949.198,252.202881,1482.281,199.181509,945.261,242.813919,20.105,1.669,3.961
2024-02-25,172.014,30.862179,1003.142,32.535239,3785.67,315.157028,3148.905,314.8905,3121.806,312.1806,6402.33,326.252066,2615.359,351.438866,1204.041,309.288032,23.062,1.914,4.543
2024-02-26,513.163,92.069995,2901.944,94.119717,3834.654,319.234946,3116.755,311.6755,3091.841,309.1841,7633.743,389.00282,3254.884,437.375038,1679.244,431.355802,24.221,2.01,4.772
2024-02-27,577.599,103.630887,3351.063,108.686143,4325.108,360.065241,3566.462,356.6462,3536.604,353.6604,6577.369,335.171762,2926.479,393.245616,1442.653,370.581489,21.553,1.789,4.246
2024-02-28,487.178,87.407853,2773.369,89.949601,3582.349,298.230554,2959.244,295.9244,2934.519,293.4519,7686.073,391.66947,3161.64,424.845375,1706.027,438.235686,20.994,1.743,4.136
2024-02-29,432.687,77.631259,2400.959,77.871104,3706.467,308.563378,3087.814,308.7814,3069.911,306.9911,7620.145,388.309889,2954.674,397.034319,1329.651,341.554101,20.548,1.705,4.048
2024-03-01,393.575,70.613915,2086.468,67.671112,3990.97,332.248252,3241.76,324.176,3212.885,321.2885,5491.016,279.813024,1933.657,259.835159,1091.731,280.438401,18.979,1.575,3.739
2024-03-02,468.769,84.104971,2720.014,88.219121,1294.147,107.737738,1134.958,113.4958,1126.727,112.6727,4531.534,230.91942,1984.71,266.695406,1023.485,262.907709,18.524,1.537,3.649
2024-03-03,376.358,67.524898,2181.125,70.741154,1917.001,159.590333,1665.512,166.5512,1655.97,165.597,3306.229,168.479919,1672.693,224.768122,1000.237,256.935879,18.339,1.522,3.613
2024-03-04,430.854,77.302388,2357.65,76.466448,2393.247,199.237813,2010.067,201.0067,2009.249,200.9249,5403.552,275.356004,1862.444,250.265913,836.687,214.923973,19.362,1.607,3.814
2024-03-05,369.473,66.289614,2013.764,65.313079,3217.846,267.88568,2665.622,266.5622,2661.919,266.1919,5488.498,279.684711,2150.294,288.945756,1068.301,274.419819,20.893,1.734,4.116
2024-03-06,235.317,42.219792,2132.104,69.15124,3438.225,286.232231,2834.192,283.4192,2825.159,282.5159,6524.636,332.484576,2897.36,389.33275,1574.925,404.558859,21.04,1.746,4.145
2024-03-07,304.81,54.687994,1597.599,51.815461,3637.18,302.795235,3032.982,303.2982,3029.482,302.9482,5054.67,257.577559,2262.778,304.060794,1129.856,290.23176,19.938,1.655,3.928
2024-03-08,382.907,68.699898,2089.845,67.780639,3504.624,291.759948,2912.701,291.2701,2908.796,290.8796,5601.007,285.417982,2319.687,311.707941,1255.8,322.583625,19.119,1.587,3.766
2024-03-09,544.006,97.603743,3242.132,105.153148,1370.324,114.079473,1130.016,113.0016,1136.555,113.6555,5653.334,288.084478,2066.257,277.653284,1040.708,267.331867,18.628,1.546,3.67
2024-03-10,547.525,98.23511,3307.786,107.282526,2386.72,198.69444,1970.175,197.0175,1965.317,196.5317,3631.423,185.051264,1659.208,222.956075,905.224,232.529415,18.302,1.519,3.605
2024-03-11,192.665,34.567312,2519.585,81.71854,3114.141,259.252238,2613.596,261.3596,2615.25,261.525,5575.809,284.133934,2013.206,270.524556,796.28,204.544425,17.933,1.488,3.533
2024-03-12,125.126,22.44969,2577.202,83.587252,3757.388,312.802551,3127.762,312.7762,3127.711,312.7711,5517.042,281.139265,2250.404,302.398038,1221.228,313.702943,17.763,1.474,3.499
2024-03-13,128.051,22.974484,2523.189,81.83543,3389.218,282.152398,2766.646,276.6646,2763.511,276.3511,4943.618,251.918534,2109.794,283.503569,1092.293,280.582764,17.65,1.465,3.477
2024-03-14,125.932,22.5943,2155.659,69.915207,3207.314,267.008891,2595.865,259.5865,2594.076,259.4076,5192.415,264.596814,2410.378,323.894544,1323.863,340.067308,16.884,1.401,3.326
2024-03-15,171.03,30.685633,1835.43,59.529113,2790.095,232.275409,2355.394,235.5394,2351.933,235.1933,4899.275,249.658889,2325.816,312.531525,1085.1,278.735062,16.826,1.397,3.315
2024-03-16,209.606,37.60681,1272.5,41.271417,1891.713,157.485107,1601.578,160.1578,1598.935,159.8935,5827.996,296.984963,1994.05,267.950469,1068.542,274.481726,17.109,1.42,3.37
2024-03-17,255.331,45.810637,1508.687,48.931748,2660.965,221.525336,2166.865,216.6865,2166.523,216.6523,3910.83,199.289379,1679.638,225.701356,915.014,235.044221,17.106,1.42,3.37
2024-03-18,58.522,10.499822,1400.196,45.413024,3227.583,268.696285,2670.255,267.0255,2660.551,266.0551,5554.479,283.046992,2526.221,339.460947,1227.016,315.189735,16.626,1.38,3.275
2024-03-19,56.739,10.179922,1890.363,61.310773,3697.489,307.815959,3062.294,306.2294,3049.582,304.9582,6685.343,340.673937,2123.898,285.398794,1032.321,265.177457,16.394,1.361,3.23
2024-03-20,56.292,10.099723,1904.74,61.777067,3665.57,305.158703,3054.402,305.4402,3016.435,301.6435,6119.864,311.85807,2683.487,360.593566,1406.843,361.382796,15.497,1.286,3.053
2024-03-21,54.179,9.720616,2857.819,92.688596,3655.876,304.351677,2982.287,298.2287,2966.564,296.6564,6266.332,319.321835,2624.717,352.696347,1446.526,371.576366,15.751,1.307,3.103
2024-03-22,121.568,21.811325,2292.544,74.354844,3749.4,312.13755,3089.782,308.9782,3104.353,310.4353,6784.966,345.750559,2733.123,367.263403,1426.343,366.391858,15.068,1.251,2.968
2024-03-23,371.459,66.645936,2213.922,71.80487,3429.189,285.479984,2825.268,282.5268,2801.08,280.108,4881.582,248.757283,1948.809,261.871209,1084.563,278.597121,15.202,1.262,2.995
2024-03-24,306.362,54.966449,1656.262,53.718098,2860.248,238.115646,2368.637,236.8637,2352.229,235.2229,4695.986,239.29962,1822.151,244.851541,928.157,238.420329,15.531,1.289,3.06
2024-03-25,60.485,10.852017,1374.923,44.593336,2517.936,209.618172,2118.179,211.8179,2101.884,210.1884,5985.426,305.007333,2629.65,353.359219,1374.963,353.193621,16.409,1.362,3.233
2024-03-26,57.598,10.334041,1446.598,46.917995,3266.18,271.909485,2766.257,276.6257,2750.879,275.0879,5639.67,287.388184,2374.741,319.105822,1220.942,313.629476,22.657,1.881,4.463
2024-03-27,91.33,16.386124,1201.083,38.955125,3429.929,285.541589,2851.215,285.1215,2841.17,284.117,7194.497,366.619576,2471.936,332.1664,1215.958,312.349211,31.085,2.58,6.124
2024-03-28,255.356,45.815122,1390.175,45.088009,3345.027,278.473498,2706.039,270.6039,2685.32,268.532,4270.498,217.617461,2152.793,289.281559,1214.254,311.911496,31.272,2.596,6.161
2024-03-29,192.291,34.50021,1028.966,33.372797,3065.919,255.237757,2538.729,253.8729,2514.191,251.4191,4494.259,229.019948,1790.305,240.572234,1000.928,257.11338,28.503,2.366,5.615
2024-03-30,0.0,0.0,0.0,0.0,2684.852,223.513929,2258.021,225.8021,2236.809,223.6809,4706.907,239.856136,1794.149,241.088772,905.626,232.632679,24.86,2.063,4.897
2024-03-31,196.801,35.309379,1074.533,34.850687,2766.255,230.290729,2326.888,232.6888,2302.934,230.2934,4777.395,243.448087,1896.532,254.846487,1064.556,273.457823,22.844,1.896,4.5
2024-04-01,345.631,62.011962,2057.964,66.746632,3430.542,285.592621,2869.232,286.9232,2840.648,284.0648,6035.544,307.561263,2902.819,390.066303,1574.157,404.361579,21.289,1.767,4.194
2024-04-02,332.321,59.623926,1959.058,63.538781,4239.342,352.925221,3586.651,358.6651,3564.715,356.4715,7881.647,401.635595,3272.245,439.707922,1595.933,409.955289,21.263,1.765,4.189
2024-04-03,278.032,49.883575,1596.119,51.76746,3993.632,332.469864,3256.721,325.6721,3233.644,323.3644,6132.26,312.489749,2567.469,345.003647,1393.015,357.830728,20.458,1.698,4.03
2024-04-04,320.744,57.546819,1900.169,61.628815,3520.042,293.043497,2930.945,293.0945,2902.868,290.2868,5976.375,304.546109,2308.556,310.212213,1264.413,324.796089,19.836,1.646,3.908
2024-04-05,293.615,52.679425,1735.835,56.298915,3900.85,324.745763,3218.319,321.8319,3200.107,320.0107,6102.159,310.955852,2585.532,347.430863,1305.299,335.298681,20.643,1.713,4.067
2024-04-06,153.205,27.48753,847.872,27.499315,2122.038,176.659663,1747.407,174.7407,1723.429,172.3429,5964.551,303.943578,2721.517,365.703847,1332.732,342.345532,20.661,1.715,4.07
2024-04-07,197.23,35.386349,1153.914,37.425277,2669.884,222.267843,2310.233,231.0233,2293.536,229.3536,5375.567,273.929935,1890.218,253.998044,1128.624,289.91529,20.052,1.664,3.95
2024-04-08,289.814,51.997462,1679.285,54.46481,4322.638,359.859613,3480.102,348.0102,3462.731,346.2731,6750.513,343.994892,2919.975,392.371641,1368.781,351.605619,18.827,1.563,3.709
2024-04-09,110.203,19.772255,617.044,20.012794,3277.901,272.885258,2773.084,277.3084,2750.421,275.0421,6610.406,336.855272,2628.412,353.192862,1424.403,365.893521,19.002,1.577,3.743
2024-04-10,258.223,46.32951,1497.016,48.553219,3614.736,300.926772,3027.31,302.731,3004.006,300.4006,6599.624,336.30584,2446.516,328.750588,1319.984,339.07089,45.845,3.805,9.031
2024-04-11,376.768,67.598459,2162.803,70.146911,3611.127,300.626323,2992.314,299.2314,2963.503,296.3503,6482.969,330.361295,2682.489,360.459459,1382.444,355.115302,99.451,8.254,19.592
2024-04-12,423.926,76.05939,2467.89,80.041899,2920.454,243.127796,2553.643,255.3643,2532.445,253.2445,7844.473,399.74127,3152.683,423.641778,1692.414,434.738846,159.8,13.263,31.481
2024-04-13,362.076,64.962469,2021.632,65.568265,2706.536,225.319122,2388.621,238.8621,2360.434,236.0434,4529.095,230.795133,2172.94,291.988813,1315.119,337.821193,161.095,13.371,31.736
2024-04-14,417.716,74.945212,2341.042,75.927796,2632.928,219.191256,2297.193,229.7193,2272.316,227.2316,5656.214,288.231238,2785.92,374.358,1419.418,364.612999,118.168,9.808,23.279
2024-04-15,455.744,81.768069,2541.016,82.413619,3477.682,289.517026,2904.97,290.497,2888.215,288.8215,7912.675,403.21673,3051.171,410.001103,1423.986,365.786404,94.093,7.81,18.536
2024-04-16,424.21,76.110344,2324.7,75.39777,3931.748,327.318021,3163.038,316.3038,3137.233,313.7233,6708.664,341.862336,2547.958,342.381856,1361.539,349.745331,71.233,5.912,14.033
2024-04-17,423.72,76.02243,2328.404,75.517903,3209.312,267.175224,2679.191,267.9191,2642.75,264.275,6590.509,335.841354,3420.882,459.681019,1789.603,459.704271,58.613,4.865,11.547
2024-04-18,415.315,74.514433,2255.213,73.144075,2858.581,237.976868,2388.296,238.8296,2371.702,237.1702,7114.399,362.537916,2558.142,343.750331,1229.083,315.720696,50.821,4.218,10.012
2024-04-19,488.328,87.614182,2690.031,87.246672,2992.902,249.159092,2524.061,252.4061,2501.347,250.1347,6128.044,312.274909,2254.815,302.990766,1075.981,276.392619,44.027,3.654,8.673
2024-04-20,422.412,75.787753,2330.653,75.590846,2707.217,225.375815,2251.969,225.1969,2231.121,223.1121,5663.706,288.613018,1862.394,250.259194,1059.218,272.086624,38.481,3.194,7.581
2024-04-21,390.609,70.081765,2186.942,70.929819,1408.337,117.244055,1200.172,120.0172,1181.895,118.1895,4376.664,223.027503,2100.013,282.189247,1156.362,297.040489,35.34,2.933,6.962
2024-04-22,492.806,88.41761,2751.879,89.252609,3072.654,255.798446,2599.057,259.9057,2576.648,257.6648,4553.087,232.017725,1869.905,251.268484,838.749,215.453649,32.731,2.717,6.448
2024-04-23,505.565,90.706787,2815.554,91.317801,3531.351,293.984971,2896.14,289.614,2865.307,286.5307,5599.119,285.321772,2144.841,288.213009,1064.437,273.427254,30.076,2.496,5.925
2024-04-24,377.987,67.817168,2136.503,69.293914,2495.87,207.781177,2082.878,208.2878,2060.673,206.0673,5250.079,267.535276,2395.273,321.864809,1263.334,324.518921,27.991,2.323,5.514
2024-04-25,397.129,71.251561,2260.515,73.316036,1027.085,85.504826,928.914,92.8914,906.799,90.6799,2865.217,146.006683,1630.42,219.087688,853.057,219.129017,28.545,2.369,5.623
2024-04-26,389.005,69.79398,2145.881,69.598074,2102.711,175.050691,1785.956,178.5956,1767.392,176.7392,4752.906,242.200168,1747.245,234.786047,927.764,238.319378,37.083,3.078,7.305
2024-04-27,397.261,71.275244,2179.578,70.69098,2270.969,189.058169,1942.64,194.264,1926.416,192.6416,4799.487,244.573858,1819.915,244.551078,926.468,237.986467,40.399,3.353,7.959
2024-04-28,419.617,75.286283,2349.711,76.20896,2591.534,215.745206,2208.988,220.8988,2192.011,219.2011,4739.185,241.500969,2116.752,284.43855,1067.7,274.265438,34.408,2.856,6.778
2024-04-29,406.997,73.022045,2336.816,75.790732,3353.554,279.18337,2787.088,278.7088,2772.824,277.2824,6465.083,329.449855,2593.0,348.434375,1289.194,331.161709,29.825,2.475,5.876
2024-04-30,200.087,35.898943,2299.292,74.573704,3363.785,280.035101,2817.449,281.7449,2802.767,280.2767,6623.225,337.508507,2636.159,354.233866,1427.291,366.635376,28.161,2.337,5.548
2024-05-01,394.646,70.80607,2253.451,73.086927,3350.187,278.903068,2783.261,278.3261,2772.943,277.2943,6754.561,344.201171,2648.042,355.830644,1342.536,344.863935,29.193,2.423,5.751
2024-05-02,398.648,71.524095,2279.152,73.920497,3644.155,303.375904,3031.511,303.1511,3019.413,301.9413,7439.067,379.082456,2678.803,359.964153,1428.2,366.868875,30.661,2.545,6.04
2024-05-03,400.575,71.869831,2283.957,74.076339,3922.539,326.551372,3324.434,332.4434,3319.969,331.9969,7205.395,367.17492,3051.084,409.989412,1539.921,395.567207,30.018,2.491,5.914
2024-05-04,398.127,71.430619,2265.907,73.490917,3600.417,299.734715,2940.075,294.0075,2941.812,294.1812,5169.756,263.44215,2270.996,305.165088,1261.877,324.144654,27.144,2.253,5.347
2024-05-05,367.208,65.883235,2088.69,67.743179,3357.968,279.550836,2726.001,272.6001,2725.241,272.5241,4103.249,209.09473,1867.948,251.005513,1074.722,276.069214,25.657,2.13,5.054
2024-05-06,415.754,74.593197,2389.462,77.498218,2819.497,234.723125,2381.965,238.1965,2380.335,238.0335,5965.035,303.968242,2873.421,386.115947,1408.399,361.782493,25.304,2.1,4.985
2024-05-07,402.471,72.210005,2324.825,75.401824,3333.67,277.528028,2772.679,277.2679,2776.157,277.6157,7765.582,395.721116,2810.305,377.634734,1414.276,363.292147,24.236,2.012,4.774
2024-05-08,428.853,76.943376,2502.729,81.171844,4086.262,340.181311,3385.794,338.5794,3383.336,338.3336,8492.828,432.78036,3815.062,512.648956,2147.826,551.722804,23.007,1.91,4.532
2024-05-09,422.726,75.84409,2446.385,79.34442,3497.646,291.17903,2986.017,298.6017,2975.732,297.5732,8158.403,415.73862,3130.454,420.654756,1237.966,318.002516,22.716,1.885,4.475
2024-05-10,449.518,80.651021,2638.268,85.567825,4391.24,365.57073,3705.121,370.5121,3689.433,368.9433,9022.499,459.771512,3514.955,472.322078,1856.22,476.816512,21.713,1.802,4.277
2024-05-11,448.522,80.472322,2625.631,85.157965,3462.939,288.289672,2823.362,282.3362,2816.886,281.6886,7759.601,395.416334,3053.292,410.286113,1543.025,396.364547,21.39,1.775,4.214
2024-05-12,416.274,74.686494,2422.591,78.572701,4329.736,360.450522,3719.213,371.9213,3718.729,371.8729,7641.931,389.420067,3064.817,411.834784,1737.015,446.195728,21.285,1.767,4.193
2024-05-13,436.803,78.369738,2577.903,83.609987,4273.732,355.788189,3556.587,355.6587,3555.427,355.5427,8157.475,415.69133,3342.93,449.206219,1665.157,427.737204,20.296,1.685,3.998
2024-05-14,437.068,78.417284,2582.439,83.757105,4434.024,369.132498,3718.615,371.8615,3713.832,371.3832,7783.055,396.611511,3848.024,517.078225,2089.087,536.634223,19.684,1.634,3.878
2024-05-15,401.267,71.993988,2379.259,77.1673,4236.424,352.682298,3580.349,358.0349,3571.633,357.1633,7348.332,374.458752,2986.761,401.346009,1642.528,421.92438,19.157,1.59,3.774
2024-05-16,389.22,69.832555,2241.014,72.683554,4187.805,348.634766,3556.773,355.6773,3568.145,356.8145,5830.309,297.102829,2204.227,296.193003,1310.799,336.711493,19.561,1.624,3.854
